getpwuid_r did not find a match for uid 501
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-08-11 16:44:33.217675+0200 0x1ed50e   Default     0x0                  84145  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:probe] PVPROBE|stage=seed delete_status=-25300 add_status=0 access_group=FAKETEAMID.cloud.blonie.PasskeyVault
2026-08-11 16:46:14.037281+0200 0x1ee484   Default     0x0                  84627  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:probe] PVPROBE|stage=seed delete_status=0 add_status=0 access_group=FAKETEAMID.cloud.blonie.PasskeyVault
2026-08-11 16:46:35.474178+0200 0x1ee66a   Default     0x0                  84644  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:probe] PVPROBE|stage=configure kr=KERN_SUCCESS phys=22251608 peak=25053272 remaining=0 ffi_bytes=32
2026-08-11 16:46:35.478969+0200 0x1ee66a   Default     0x0                  84644  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:probe] PVPROBE|stage=keychain status=0 bytes=32 equal=true
2026-08-11 16:46:35.479297+0200 0x1ee66a   Default     0x0                  84644  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:probe] PVPROBE|stage=keychain-negative status=-34018
2026-08-11 16:47:25.778993+0200 0x1ef114   Default     0x0                  85083  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:probe] PVPROBE|stage=seed delete_status=0 add_status=0 access_group=FAKETEAMID.cloud.blonie.PasskeyVault
2026-08-11 16:47:46.957941+0200 0x1ef30f   Default     0x0                  85109  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:probe] PVPROBE|stage=configure kr=KERN_SUCCESS phys=22284400 peak=25102448 remaining=0 ffi_bytes=32
2026-08-11 16:47:46.963287+0200 0x1ef30f   Default     0x0                  85109  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:probe] PVPROBE|stage=keychain status=0 bytes=32 equal=false
2026-08-11 16:47:46.963630+0200 0x1ef30f   Default     0x0                  85109  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:probe] PVPROBE|stage=keychain-negative status=-34018
2026-08-11 16:48:34.081136+0200 0x1efdb4   Default     0x0                  85502  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:probe] PVPROBE|stage=seed delete_status=0 add_status=0 access_group=FAKETEAMID.cloud.blonie.PasskeyVault
2026-08-11 16:48:55.719078+0200 0x1eff62   Default     0x0                  85526  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:probe] PVPROBE|stage=configure kr=KERN_SUCCESS phys=22251608 peak=25151576 remaining=0 ffi_bytes=32
2026-08-11 16:48:55.727233+0200 0x1eff62   Default     0x0                  85526  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:probe] PVPROBE|stage=keychain status=0 bytes=32 equal=true
2026-08-11 16:48:55.727571+0200 0x1eff62   Default     0x0                  85526  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:probe] PVPROBE|stage=keychain-negative status=-34018
