## Run 1 -- unexpired (real biometric unlock, immediate silent fill)
RUN1-XCODEBUILD-EXIT: 0
getpwuid_r did not find a match for uid 501
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-08-20 16:33:49.942104+0200 0x966ffd   Default     0x0                  62289  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVLOCK|stage=host-launch-read writer=none
2026-08-20 16:33:51.561582+0200 0x966ffd   Default     0x0                  62289  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41LOCK|stage=seed status=ok step=secretA digest=2f5cd82387924463fab2b9a0a50640422ca3db478ac5dbda477a057af950d4bd
2026-08-20 16:33:51.577244+0200 0x966ffd   Default     0x0                  62289  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41LOCK|stage=seed status=ok step=cache itemId=e41-lock-item-41-07
2026-08-20 16:33:52.291531+0200 0x966ffd   Default     0x0                  62289  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-2|stage=state supportsIncrementalUpdates=true
2026-08-20 16:33:52.320191+0200 0x966ffd   Default     0x0                  62289  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-2|stage=republish status=ok count=1 mode=incremental
2026-08-20 16:33:52.320352+0200 0x966ffd   Default     0x0                  62289  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41LOCK|stage=seed status=ok step=identity
2026-08-20 16:33:58.470280+0200 0x96726d   Default     0x0                  62348  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVLOCK|stage=host-launch-read writer=none
2026-08-20 16:33:59.260975+0200 0x96726d   Default     0x0                  62348  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVLOCK|entry=host-unlock stage=lazy-check status=indeterminate
2026-08-20 16:33:59.893794+0200 0x96726d   Default     0x0                  62348  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVLOCK|stage=host-unlock bootSessionId=73E495F0-1521-4620-8FEA-6D4063FA82CB
2026-08-20 16:34:07.760283+0200 0x96726d   Default     0x0                  62348  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVLOCK|entry=host-foreground stage=lazy-check status=unlocked
2026-08-20 16:34:07.760869+0200 0x96726d   Default     0x0                  62348  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVLOCK|stage=activity-refresh writer=host
2026-08-20 16:34:26.245187+0200 0x967b90   Default     0x0                  62856  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVLOCK|entry=silent stage=lazy-check status=unlocked
