getpwuid_r did not find a match for uid 501
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-08-20 07:14:40.731045+0200 0x75fa24   Default     0x0                  25892  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|stage=seed status=ok step=lockmarker
2026-08-20 07:14:40.749574+0200 0x75fa24   Default     0x0                  25892  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|stage=seed status=ok step=sessionkey digest=2435b01a34cca1e713be2cd56de4d5ffd305f5f427414ca0dacda9d96c8b533b
2026-08-20 07:14:40.756336+0200 0x75fa24   Default     0x0                  25892  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|stage=seed status=ok step=cache itemId=tracer-item-41-03
2026-08-20 07:14:41.034995+0200 0x75fa24   Default     0x0                  25892  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-2|stage=republish status=store-disabled
2026-08-20 07:14:41.035482+0200 0x75fa24   Error       0x0                  25892  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|stage=seed status=fail step=identity error=ASCredentialIdentityStore is disabled
2026-08-20 07:14:41.045802+0200 0x75fa24   Default     0x0                  25892  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-6|stage=write-digest field=encKey.nonce digest=60efd4e25ee7a6f3780a66b813336df29a99558013ebf43ff47a2cca51162c56
2026-08-20 07:14:41.045903+0200 0x75fa24   Default     0x0                  25892  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-6|stage=write-digest field=encKey.ciphertext digest=4276429c6b0cb0dc52a24d04c6ec488ba041fa716a84b96a3bab0689bbb55d62
2026-08-20 07:14:41.045998+0200 0x75fa24   Default     0x0                  25892  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-6|stage=write-digest field=encData.nonce digest=5bbb8f90f7237cee03fb2f5dcab2f4a803524e79972748c227e2bfab071cecff
2026-08-20 07:14:41.046065+0200 0x75fa24   Default     0x0                  25892  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-6|stage=write-digest field=encData.ciphertext digest=02125f2d9428f5490846a181540c940738a770c5e45b6fdeb11e44e8b5795fbe
2026-08-20 07:14:41.046125+0200 0x75fa24   Default     0x0                  25892  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-6|stage=write-digest field=itemId digest=e8221e26cd8ac41ca7132c6925428b63935b974dc195c4d94514efb170126135
