## ACC-07 -- extension-only activity keeps the host session alive
ACC07-XCODEBUILD-EXIT: 0
getpwuid_r did not find a match for uid 501
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-08-20 10:22:41.492079+0200 0x7d8483   Default     0x0                  8486   0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVLOCK|stage=host-launch-read writer=none
2026-08-20 10:22:42.067279+0200 0x7d8483   Default     0x0                  8486   0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41LOCK|stage=seed status=ok step=secretA digest=ec1f5b2c74f14fdce088027bb62b050d72c44ed8351dc9ae8970700725d44541
2026-08-20 10:22:42.074480+0200 0x7d8483   Default     0x0                  8486   0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41LOCK|stage=seed status=ok step=cache itemId=e41-lock-item-41-07
2026-08-20 10:22:42.735462+0200 0x7d8483   Default     0x0                  8486   0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-2|stage=state supportsIncrementalUpdates=true
2026-08-20 10:22:42.762919+0200 0x7d8483   Default     0x0                  8486   0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-2|stage=republish status=ok count=1 mode=incremental
2026-08-20 10:22:42.763048+0200 0x7d8483   Default     0x0                  8486   0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41LOCK|stage=seed status=ok step=identity
2026-08-20 10:22:48.539771+0200 0x7d869c   Default     0x0                  8565   0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVLOCK|stage=host-launch-read writer=none
2026-08-20 10:22:49.071002+0200 0x7d869c   Default     0x0                  8565   0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVLOCK|entry=host-unlock stage=lazy-check status=expired
2026-08-20 10:22:49.617052+0200 0x7d869c   Default     0x0                  8565   0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVLOCK|stage=host-unlock bootSessionId=73E495F0-1521-4620-8FEA-6D4063FA82CB
2026-08-20 10:22:57.374469+0200 0x7d869c   Default     0x0                  8565   0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVLOCK|entry=host-foreground stage=lazy-check status=unlocked
2026-08-20 10:22:57.375026+0200 0x7d869c   Default     0x0                  8565   0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVLOCK|stage=activity-refresh writer=host
