getpwuid_r did not find a match for uid 501
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-08-20 04:50:27.897784+0200 0x6ff88e   Default     0x0                  74800  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-2|stage=rebuild status=not-pending
2026-08-20 04:51:04.186727+0200 0x700325   Default     0x0                  75244  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|stage=seed status=ok step=lockmarker
2026-08-20 04:51:04.202010+0200 0x700325   Default     0x0                  75244  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|stage=seed status=ok step=sessionkey digest=a4719157d4e5b48e5a0d1acdc81fff7ce8f8ed0da9e1a80bbf63b3f056a66289
2026-08-20 04:51:04.208553+0200 0x700325   Default     0x0                  75244  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|stage=seed status=ok step=cache itemId=tracer-item-41-03
2026-08-20 04:51:04.525516+0200 0x700325   Default     0x0                  75244  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-2|stage=state supportsIncrementalUpdates=true
2026-08-20 04:51:04.547196+0200 0x700325   Default     0x0                  75244  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-2|stage=republish status=ok count=1 mode=incremental
2026-08-20 04:51:04.547258+0200 0x700325   Default     0x0                  75244  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|stage=seed status=ok step=identity
2026-08-20 04:51:20.445319+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|entry=silent stage=lock-check status=unlocked
2026-08-20 04:51:20.449941+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|entry=silent stage=diagnose-target identifier=127.0.0.1 type=ASCredentialServiceIdentifierType(rawValue: 0)
2026-08-20 04:51:20.454416+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|entry=silent stage=cache-lookup status=ok
2026-08-20 04:51:20.457849+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|stage=sessionkey-read status=ok len=32
2026-08-20 04:51:20.459289+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|entry=silent stage=sessionkey status=ok
2026-08-20 04:51:20.460408+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|entry=silent stage=decrypt status=ok
2026-08-20 04:51:20.461452+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|entry=silent stage=matcher status=accepted
2026-08-20 04:51:20.461474+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|entry=silent stage=fill status=ok
2026-08-20 04:51:20.667920+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-2|stage=state supportsIncrementalUpdates=true
2026-08-20 04:51:20.682873+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-2|stage=republish status=ok count=1 mode=incremental
2026-08-20 04:51:20.682896+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-2|stage=self-heal status=ok record=tracer-item-41-03

## Falsification 1 -- revision altered by one (expect decrypt AEAD failure)
getpwuid_r did not find a match for uid 501
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-08-20 04:51:04.186727+0200 0x700325   Default     0x0                  75244  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|stage=seed status=ok step=lockmarker
2026-08-20 04:51:04.202010+0200 0x700325   Default     0x0                  75244  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|stage=seed status=ok step=sessionkey digest=a4719157d4e5b48e5a0d1acdc81fff7ce8f8ed0da9e1a80bbf63b3f056a66289
2026-08-20 04:51:04.208553+0200 0x700325   Default     0x0                  75244  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|stage=seed status=ok step=cache itemId=tracer-item-41-03
2026-08-20 04:51:04.525516+0200 0x700325   Default     0x0                  75244  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-2|stage=state supportsIncrementalUpdates=true
2026-08-20 04:51:04.547196+0200 0x700325   Default     0x0                  75244  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-2|stage=republish status=ok count=1 mode=incremental
2026-08-20 04:51:04.547258+0200 0x700325   Default     0x0                  75244  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|stage=seed status=ok step=identity
2026-08-20 04:51:20.445319+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|entry=silent stage=lock-check status=unlocked
2026-08-20 04:51:20.449941+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|entry=silent stage=diagnose-target identifier=127.0.0.1 type=ASCredentialServiceIdentifierType(rawValue: 0)
2026-08-20 04:51:20.454416+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|entry=silent stage=cache-lookup status=ok
2026-08-20 04:51:20.457849+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|stage=sessionkey-read status=ok len=32
2026-08-20 04:51:20.459289+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|entry=silent stage=sessionkey status=ok
2026-08-20 04:51:20.460408+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|entry=silent stage=decrypt status=ok
2026-08-20 04:51:20.461452+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|entry=silent stage=matcher status=accepted
2026-08-20 04:51:20.461474+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|entry=silent stage=fill status=ok
2026-08-20 04:51:20.667920+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-2|stage=state supportsIncrementalUpdates=true
2026-08-20 04:51:20.682873+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-2|stage=republish status=ok count=1 mode=incremental
2026-08-20 04:51:20.682896+0200 0x700708   Default     0x0                  75405  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-2|stage=self-heal status=ok record=tracer-item-41-03
2026-08-20 04:51:47.591039+0200 0x700ec0   Default     0x0                  75707  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|stage=seed status=ok step=lockmarker
2026-08-20 04:51:47.594947+0200 0x700ec0   Default     0x0                  75707  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|stage=seed status=ok step=sessionkey digest=4c99de42fea4ac61ac37b8d3261a7fc8b4c84cc21b2c3405f200b642bb21a64e
2026-08-20 04:51:47.604393+0200 0x700ec0   Default     0x0                  75707  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|stage=seed status=ok step=cache itemId=tracer-item-41-03
2026-08-20 04:51:47.966777+0200 0x700ec0   Default     0x0                  75707  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-2|stage=state supportsIncrementalUpdates=true
2026-08-20 04:51:47.983862+0200 0x700ec0   Default     0x0                  75707  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|E41-2|stage=republish status=ok count=1 mode=incremental
2026-08-20 04:51:47.983950+0200 0x700ec0   Default     0x0                  75707  0    PasskeyVault: (PasskeyVault.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|stage=seed status=ok step=identity
2026-08-20 04:52:03.361066+0200 0x70124a   Default     0x0                  75839  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|entry=silent stage=lock-check status=unlocked
2026-08-20 04:52:03.365573+0200 0x70124a   Default     0x0                  75839  0    PasskeyVaultAutoFill: (PasskeyVaultAutoFill.debug.dylib) [cloud.blonie.PasskeyVault:fill] PVFILL|entry=silent stage=diagnose-target identifier=127.0.0.1 type=ASCredentialServiceIdentifierType(rawValue: 0)
